sex,age,loc,salary
F,32,경기,4297.0
F,34,경상,2182.0
F,33,전라,2648.0
M,32,충청,2270.0
M,31,경기,3014.0
F,34,인천,1245.0
M,31,전라,1137.0
F,43,경기,4378.0
F,52,인천,2483.0
M,28,강원,1102.0
M,41,충청,2908.0
M,32,경기,4238.0
F,33,제주,2449.0
M,47,전라,3582.0
M,21,제주,1983.0
F,21,경기,2968.0
F,20,인천,1859.0
M,42,충청,2396.0
M,41,충청,2891.0
F,43,충청,2382.0
F,52,경기,2454.0
M,42,인천,1302.0
M,31,인천,1157.0
M,41,충청,2869.0
F,22,강원,1432.0
F,34,경상,2067.0
M,22,전라,1425.0
F,48,인천,4081.0
F,32,경상,3434.0
M,31,경상,2044.0
F,24,서울,1083.0
M,38,인천,1151.0
M,31,경상,3145.0
F,33,경상,2540.0
F,20,인천,1796.0
F,33,제주,2402.0
F,33,경상,2525.0
F,33,제주,2469.0
F,48,인천,4119.0
F,34,경상,2166.0
F,28,전라,1000.0
M,31,서울,1086.0
F,34,인천,1326.0
M,21,서울,1217.0
F,34,경상,3156.0
F,34,경상,2202.0
F,23,제주,1208.0
F,22,경상,2149.0
M,27,인천,3491.0
